,SalePrice,SqFtTotLiving,ZipCode
1780,450000,2530.0,98042
1781,438000,1570.0,98042
1782,700000,4320.0,98042
1790,325000,1380.0,98003
1797,325000,1340.0,98003
1806,520000,1860.0,98028
1808,887500,2620.0,98072
1809,396000,880.0,98146
1810,795000,2210.0,98146
1811,530000,1050.0,98146
1813,552000,1720.0,98146
1815,410000,840.0,98146
1836,663500,1790.0,98072
1839,318950,1260.0,98002
1858,1095000,3450.0,98074
1878,748000,3360.0,98019
1879,788000,2830.0,98019
1882,739000,3560.0,98019
1884,455000,1380.0,98019
1886,400000,1660.0,98001
1900,451500,2280.0,98168
1909,665000,1880.0,98177
1911,530000,1480.0,98177
1913,840000,2290.0,98177
1915,870000,2390.0,98008
1918,668888,1220.0,98008
1919,766000,1440.0,98008
1920,932000,1580.0,98008
1922,887000,2080.0,98008
1926,749000,1540.0,98008
1928,715000,1250.0,98008
1931,836200,1470.0,98008
1932,680000,1460.0,98008
1937,575000,1370.0,98103
1949,660000,1450.0,98103
1952,880000,2180.0,98008
1969,1750000,3310.0,98199
1970,1870000,3690.0,98199
1972,1600000,3250.0,98199
1976,1040000,2010.0,98199
1981,869000,1060.0,98199
1982,1075000,1960.0,98199
1985,867000,1760.0,98199
1986,1257500,3690.0,98199
1989,910000,1520.0,98199
1991,900000,2130.0,98199
1993,320000,980.0,98001
1994,300000,980.0,98001
1996,286000,980.0,98001
2000,365000,1230.0,98003
2002,789000,2250.0,98144
2010,650000,1310.0,98144
2011,650000,1310.0,98144
2012,630000,1310.0,98144
2013,627500,1310.0,98144
2014,484950,1080.0,98144
2022,387800,1370.0,98030
2024,430000,2000.0,98030
2027,424999,1920.0,98030
2029,355000,1400.0,98002
2030,499000,3690.0,98002
2031,320007,1910.0,98002
2046,1300000,2720.0,98028
2051,1090000,3090.0,98166
2066,965000,2070.0,98146
2103,800000,2280.0,98056
2104,800000,2280.0,98056
2105,590000,1410.0,98027
2108,610000,1410.0,98027
2115,615000,1080.0,98126
2148,371000,1310.0,98002
2174,1075000,3890.0,98077
2179,1330000,4110.0,98029
2180,1240000,3300.0,98029
2182,1308000,4550.0,98029
2191,1100000,3390.0,98077
2192,992500,3190.0,98077
2193,965000,3190.0,98077
2194,870000,3120.0,98077
2195,1350000,4870.0,98077
2197,1327500,4130.0,98077
2198,975000,3220.0,98077
2246,535000,1040.0,98144
2287,337500,1110.0,98001
2288,437500,2100.0,98001
2294,295000,920.0,98001
2295,380000,1750.0,98001
2296,380000,1820.0,98001
2298,549500,2410.0,98001
2299,340000,1590.0,98001
2313,409000,1180.0,98092
2314,260000,1040.0,98002
2315,318000,1090.0,98002
2318,418000,1500.0,98001
2320,970000,2770.0,98075
2321,960000,2830.0,98075
2322,116863,2110.0,98058
2323,518500,2310.0,98058
2327,460000,850.0,98133
2331,615000,1280.0,98103
2333,550000,700.0,98116
2334,790000,1530.0,98136
2335,910000,2060.0,98136
2337,359000,1390.0,98168
2345,943000,2330.0,98075
2346,975000,2640.0,98075
2364,705000,2110.0,98024
2365,955000,2660.0,98074
2366,970000,2730.0,98074
2368,1007000,2610.0,98074
2371,225000,740.0,98022
2374,485000,1490.0,98022
2383,390000,1690.0,98001
2390,440000,1850.0,98092
2394,590000,3250.0,98092
2395,748000,3480.0,98092
2399,581000,2720.0,98051
2404,614000,2570.0,98051
2406,2458000,5200.0,98040
2407,1500000,3530.0,98040
2414,829000,1660.0,98004
2420,369950,1610.0,98198
2424,438000,1420.0,98042
2426,875000,2560.0,98058
2427,576000,3668.0,98058
2428,800000,3130.0,98058
2431,425600,1020.0,98042
2435,530000,1660.0,98038
2441,665000,1990.0,98038
2447,450000,2050.0,98178
2452,472500,1380.0,98118
2454,480000,2430.0,98178
2455,530000,2060.0,98118
2456,340000,1070.0,98118
2491,655000,2370.0,98027
2499,1265000,3130.0,98027
2503,605000,1610.0,98027
2512,535000,1150.0,98045
2517,650000,1340.0,98116
2522,600000,1550.0,98007
2527,1350000,3990.0,98075
2546,930000,1800.0,98052
2558,1560000,2260.0,98033
2572,590000,2580.0,98155
2582,885000,3290.0,98077
2584,850000,2440.0,98077
2589,795000,2310.0,98077
2591,945000,3300.0,98077
2594,715000,2440.0,98077
2599,900000,1430.0,98115
2600,850000,2710.0,98034
2601,1082500,2590.0,98034
2602,1930000,4700.0,98034
2603,6500000,440.0,98034
2604,6500000,6390.0,98034
